1.Parameters:
----------------------------------------------------------------------------
.	md_steps 2000
.	A 5
.	B 5
.	C 5
.	max_step 20
.	max_sub_step 20
.	solid_cutoff 0.750000
.	liquid_cutoff 0.200000
.	Mode
.done

2.build mode...
----------------------------------------------------------------------------
.	Relaxing...
.	Recheck the solid temperature: 
.		1500.00 solid
.		2000.00 liquid

.	Recheck the liquid Temperature 
.		 2500.00 liquid
.		 2000.00 liquid
.		 1500.00 solid
3. Melting Temperature Search Start.
----------------------------------------------------------------------------
.	heating up start. MD Steps:5000 From:1500.00K to 2000.00K

TP_0_0		steps:	temperature:	pressure:	volume:
TP_1_0		0	1500.000000	159235.957361	5722.998939
TP_1_0		1	1506.548988	158993.336542	5723.074356
TP_1_0		2	1513.623761	158677.334206	5723.300385
TP_1_0		3	1520.996792	158308.646904	5723.676751
TP_1_0		4	1528.494936	157903.044312	5724.203145
TP_1_0		5	1536.002313	157470.218261	5724.879238
TP_1_0		6	1543.448860	157014.607094	5725.704690
TP_1_0		7	1550.793891	156536.725073	5726.679153
TP_1_0		8	1558.011270	156034.646674	5727.802271
TP_1_0		9	1565.078963	155504.837735	5729.073676
TP_1_0		10	1571.972974	154943.190288	5730.492987
TP_1_0		11	1578.664789	154345.787006	5732.059798
TP_1_0		12	1585.121118	153709.321931	5733.773682
TP_1_0		13	1591.304927	153031.128053	5735.634177
TP_1_0		14	1597.177157	152309.399549	5737.640789
TP_1_0		15	1602.698706	151543.352161	5739.792982
TP_1_0		16	1607.832356	150733.208861	5742.090183
TP_1_0		17	1612.544431	149879.653223	5744.531773
TP_1_0		18	1616.806310	148983.696155	5747.117087
TP_1_0		19	1620.595857	148046.438916	5749.845417
TP_1_0		20	1623.898423	147068.483710	5752.716006
TP_1_0		21	1626.707388	146050.240089	5755.728048
TP_1_0		22	1629.024246	144992.060019	5758.880682
TP_1_0		23	1630.858035	143894.016361	5762.172999
TP_1_0		24	1632.224229	142755.797078	5765.604029
TP_1_0		25	1633.143151	141576.482146	5769.172743
TP_1_0		26	1633.637857	140355.224265	5772.878049
TP_1_0		27	1633.731983	139091.218626	5776.718789
TP_1_0		28	1633.448119	137783.702093	5780.693733
TP_1_0		29	1632.806791	136432.772721	5784.801577
TP_1_0		30	1631.825938	135039.452100	5789.040941
TP_1_0		31	1630.520950	133605.543042	5793.410364
TP_1_0		32	1628.905314	132133.242442	5797.908307
TP_1_0		33	1626.991746	130625.270388	5802.533150
TP_1_0		34	1624.793443	129084.939611	5807.283191
TP_1_0		35	1622.325420	127515.952723	5812.156652
TP_1_0		36	1619.605903	125922.780306	5817.151672
TP_1_0		37	1616.657312	124309.595735	5822.266315
TP_1_0		38	1613.506690	122680.049112	5827.498572
TP_1_0		39	1610.185578	121037.923278	5832.846360
TP_1_0		40	1606.729310	119387.274765	5838.307523
TP_1_0		41	1603.175697	117731.475430	5843.879840
TP_1_0		42	1599.563523	116072.628995	5849.561019
TP_1_0		43	1595.931137	114412.257227	5855.348707
TP_1_0		44	1592.315059	112750.549398	5861.240481
TP_1_0		45	1588.748790	111086.495464	5867.233856
TP_1_0		46	1585.262093	109418.543944	5873.326277
TP_1_0		47	1581.880704	107745.708157	5879.515121
TP_1_0		48	1578.626358	106066.902732	5885.797694
TP_1_0		49	1575.516991	104381.090397	5892.171232
TP_1_0		50	1572.566964	102687.363364	5898.632899
TP_1_0		51	1569.787179	100985.364738	5905.179785
TP_1_0		52	1567.185143	99274.749641	5911.808911
TP_1_0		53	1564.765024	97554.515458	5918.517228
TP_1_0		54	1562.527835	95823.201872	5925.301615
TP_1_0		55	1560.471725	94079.108338	5932.158883
TP_1_0		56	1558.592389	92320.262532	5939.085772
TP_1_0		57	1556.883588	90545.070847	5946.078957
TP_1_0		58	1555.337625	88751.961117	5953.135042
TP_1_0		59	1553.945783	86939.815634	5960.250564
TP_1_0		60	1552.698750	85108.374861	5967.422000
TP_1_0		61	1551.586816	83257.569258	5974.645760
TP_1_0		62	1550.599960	81388.383649	5981.918201
TP_1_0		63	1549.727993	79502.714236	5989.235627
TP_1_0		64	1548.960809	77603.422840	5996.594292
TP_1_0		65	1548.288509	75693.948678	6003.990416
TP_1_0		66	1547.701282	73777.892332	6011.420186
TP_1_0		67	1547.189212	71859.067904	6018.879765
TP_1_0		68	1546.742069	69941.234509	6026.365306
TP_1_0		69	1546.349138	68028.333006	6033.872955
TP_1_0		70	1545.998906	66123.877063	6041.398866
TP_1_0		71	1545.678732	64231.298271	6048.939205
TP_1_0		72	1545.374806	62353.591788	6056.490161
TP_1_0		73	1545.072206	60492.781441	6064.047955
TP_1_0		74	1544.754977	58650.244702	6071.608846
TP_1_0		75	1544.406537	56827.262865	6079.169138
TP_1_0		76	1544.010458	55024.896340	6086.725188
TP_1_0		77	1543.551095	53243.718983	6094.273410
TP_1_0		78	1543.013886	51483.993549	6101.810280
TP_1_0		79	1542.385896	49746.111759	6109.332345
TP_1_0		80	1541.656601	48030.914150	6116.836221
TP_1_0		81	1540.818400	46338.960257	6124.318606
TP_1_0		82	1539.866850	44670.355688	6131.776278
TP_1_0		83	1538.800664	43024.677074	6139.206101
TP_1_0		84	1537.621282	41400.455619	6146.605030
TP_1_0		85	1536.332258	39795.581678	6153.970111
TP_1_0		86	1534.938690	38207.249492	6161.298481
TP_1_0		87	1533.446623	36633.182077	6168.587367
TP_1_0		88	1531.862440	35072.765030	6175.834089
TP_1_0		89	1530.192280	33525.919035	6183.036058
TP_1_0		90	1528.441592	31992.790831	6190.190780
TP_1_0		91	1526.614876	30473.933903	6197.295856
TP_1_0		92	1524.715663	28969.703449	6204.348984
TP_1_0		93	1522.746882	27480.319161	6211.347961
TP_1_0		94	1520.711591	26005.949616	6218.290684
TP_1_0		95	1518.613843	24546.777523	6225.175148
TP_1_0		96	1516.459469	23102.935320	6231.999450
TP_1_0		97	1514.256536	21674.600856	6238.761786
TP_1_0		98	1512.015419	20261.908303	6245.460451
TP_1_0		99	1509.748613	18864.824457	6252.093840
TP_1_0		100	1507.470311	17483.145216	6258.660443
TP_1_0		101	1505.195839	16116.516047	6265.158849
TP_1_0		102	1502.940998	14764.208166	6271.587739
TP_1_0		103	1500.721212	13425.178976	6277.945887
TP_1_0		104	1498.550799	12098.772328	6284.232155
TP_1_0		105	1496.442428	10784.683748	6290.445490
TP_1_0		106	1494.406489	9482.888155	6296.584921
TP_1_0		107	1492.450604	8193.722462	6302.649561
TP_1_0		108	1490.579485	6918.076302	6308.638599
TP_1_0		109	1488.794954	5657.231150	6314.551300
TP_1_0		110	1487.095936	4412.568220	6320.387007
TP_1_0		111	1485.478509	3185.624898	6326.145136
TP_1_0		112	1483.936214	1977.792894	6331.825176
TP_1_0		113	1482.460546	789.750475	6337.426689
TP_1_0		114	1481.041448	-378.337468	6342.949305
TP_1_0		115	1479.667849	-1526.653182	6348.392722
TP_1_0		116	1478.328394	-2655.517391	6353.756702
TP_1_0		117	1477.012523	-3765.038976	6359.041066
TP_1_0		118	1475.711698	-4854.812352	6364.245692
TP_1_0		119	1474.420362	-5924.721606	6369.370513
TP_1_0		120	1473.136577	-6975.268836	6374.415513
TP_1_0		121	1471.862387	-8007.543643	6379.380724
TP_1_0		122	1470.603849	-9022.703046	6384.266223
TP_1_0		123	1469.370877	-10021.689077	6389.072125
TP_1_0		124	1468.176442	-11005.832868	6393.798583
TP_1_0		125	1467.035174	-11976.686355	6398.445779
TP_1_0		126	1465.961896	-12935.739177	6403.013925
TP_1_0		127	1464.970279	-13884.261644	6407.503255
TP_1_0		128	1464.071717	-14823.178759	6411.914022
TP_1_0		129	1463.274336	-15753.106771	6416.246495
TP_1_0		130	1462.582273	-16674.319659	6420.500958
TP_1_0		131	1461.995449	-17586.943497	6424.677704
TP_1_0		132	1461.509937	-18490.581121	6428.777036
TP_1_0		133	1461.118744	-19384.215122	6432.799263
TP_1_0		134	1460.812678	-20266.298777	6436.744703
TP_1_0		135	1460.581120	-21135.027243	6440.613681
TP_1_0		136	1460.412749	-21988.757178	6444.406527
TP_1_0		137	1460.296235	-22825.819739	6448.123584
TP_1_0		138	1460.220749	-23644.550003	6451.765200
TP_1_0		139	1460.176191	-24443.471744	6455.331736
TP_1_0		140	1460.153474	-25221.081324	6458.823560
TP_1_0		141	1460.144912	-25976.100603	6462.241053
TP_1_0		142	1460.144441	-26707.646194	6465.584608
TP_1_0		143	1460.147597	-27415.203270	6468.854627
TP_1_0		144	1460.151358	-28098.796085	6472.051526
TP_1_0		145	1460.153889	-28758.783817	6475.175728
TP_1_0		146	1460.154369	-29395.893827	6478.227669
TP_1_0		147	1460.152832	-30010.821558	6481.207789
TP_1_0		148	1460.149883	-30603.797785	6484.116537
TP_1_0		149	1460.146411	-31175.172555	6486.954366
TP_1_0		150	1460.143432	-31725.252249	6489.721734
TP_1_0		151	1460.142048	-32254.313340	6492.419102
TP_1_0		152	1460.143355	-32762.581182	6495.046935
TP_1_0		153	1460.148111	-33250.186537	6497.605702
TP_1_0		154	1460.156371	-33716.974825	6500.095872
TP_1_0		155	1460.167234	-34162.343281	6502.517917
TP_1_0		156	1460.178703	-34585.708297	6504.872314
TP_1_0		157	1460.187777	-34986.699505	6507.159542
TP_1_0		158	1460.190659	-35365.247767	6509.380086
TP_1_0		159	1460.182775	-35721.701511	6511.534432
TP_1_0		160	1460.158726	-36056.906523	6513.623075
TP_1_0		161	1460.112515	-36371.980634	6515.646510
TP_1_0		162	1460.037955	-36668.202392	6517.605235
TP_1_0		163	1459.928990	-36946.738297	6519.499747
TP_1_0		164	1459.779854	-37208.685960	6521.330547
TP_1_0		165	1459.585138	-37455.086083	6523.098129
TP_1_0		166	1459.339802	-37687.358607	6524.802988
TP_1_0		167	1459.038995	-37907.209134	6526.445615
TP_1_0		168	1458.677800	-38115.792477	6528.026493
TP_1_0		169	1458.251024	-38313.731454	6529.546100
TP_1_0		170	1457.752988	-38501.197858	6531.004908
TP_1_0		171	1457.177415	-38678.181863	6532.403380
TP_1_0		172	1456.517305	-38844.822701	6533.741975
TP_1_0		173	1455.764755	-39001.327254	6535.021144
TP_1_0		174	1454.910990	-39147.530456	6536.241333
TP_1_0		175	1453.946557	-39282.584225	6537.402982
TP_1_0		176	1452.861571	-39405.167114	6538.506529
TP_1_0		177	1451.646127	-39513.713561	6539.552409
TP_1_0		178	1450.290826	-39606.583546	6540.541058
TP_1_0		179	1448.787173	-39682.431555	6541.472915
TP_1_0		180	1447.127869	-39739.963816	6542.348424
TP_1_0		181	1445.307272	-39778.381341	6543.168038
TP_1_0		182	1443.321876	-39797.582717	6543.932215
TP_1_0		183	1441.170776	-39798.109609	6544.641424
TP_1_0		184	1438.856101	-39781.325233	6545.296145
TP_1_0		185	1436.383073	-39749.506655	6545.896860
TP_1_0		186	1433.759782	-39705.303503	6546.444061
TP_1_0		187	1430.996840	-39651.228271	6546.938239
TP_1_0		188	1428.106812	-39589.595229	6547.379885
TP_1_0		189	1425.103498	-39522.917400	6547.769488
TP_1_0		190	1422.001252	-39453.463431	6548.107529
TP_1_0		191	1418.814316	-39383.063677	6548.394482
TP_1_0		192	1415.556289	-39313.047133	6548.630810
TP_1_0		193	1412.239801	-39244.243579	6548.816967
