1.Parameters:
----------------------------------------------------------------------------
.	md_steps 2000
.	A 5
.	B 5
.	C 5
.	max_step 20
.	max_sub_step 20
.	solid_cutoff 0.750000
.	liquid_cutoff 0.200000
.	Mode
.	build defect 1 0 1
.	size	0.500000	0.500000	0.500000	0.000000	0.000000	0.000000
.	pos	0.500000	0.500000	0.500000	0.000000	0.000000	0.000000
.	rot	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
.done

2.build mode...
----------------------------------------------------------------------------
.	Relaxing...
.	Recheck the solid temperature: 
.		1500.00 solid
.		2000.00 liquid

.	Recheck the liquid Temperature 
.		 2500.00 liquid
.		 2000.00 liquid
.		 1500.00 solid
3. Melting Temperature Search Start.
----------------------------------------------------------------------------
.	heating up start. MD Steps:5000 From:1500.00K to 2000.00K

TP_0_0		steps:	temperature:	pressure:	volume:
TP_1_0		0	1500.000000	109802.857987	5722.998939
TP_1_0		1	1501.312449	109645.917716	5723.058294
TP_1_0		2	1503.293353	109409.529566	5723.236195
TP_1_0		3	1505.732849	109113.793933	5723.532400
TP_1_0		4	1508.463191	108776.073579	5723.946617
TP_1_0		5	1511.373493	108408.943530	5724.478513
TP_1_0		6	1514.406476	108019.970862	5725.127736
TP_1_0		7	1517.545713	107612.535241	5725.893918
TP_1_0		8	1520.800778	107187.024280	5726.776679
TP_1_0		9	1524.194650	106741.492760	5727.775629
TP_1_0		10	1527.754843	106272.475733	5728.890363
TP_1_0		11	1531.507832	105775.837268	5730.120456
TP_1_0		12	1535.475935	105247.316536	5731.465460
TP_1_0		13	1539.675858	104682.787191	5732.924899
TP_1_0		14	1544.118303	104078.529547	5734.498260
TP_1_0		15	1548.808249	103431.466358	5736.184994
TP_1_0		16	1553.745380	102739.333167	5737.984505
TP_1_0		17	1558.924196	102000.753890	5739.896151
TP_1_0		18	1564.333734	101215.222433	5741.919241
TP_1_0		19	1569.957094	100382.983794	5744.053031
TP_1_0		20	1575.771022	99504.882758	5746.296726
TP_1_0		21	1581.745700	98582.579758	5748.649479
TP_1_0		22	1587.844578	97618.670077	5751.110388
TP_1_0		23	1594.024641	96616.770653	5753.678504
TP_1_0		24	1600.237363	95581.184646	5756.352827
TP_1_0		25	1606.430112	94516.525319	5759.132316
TP_1_0		26	1612.547987	93427.316125	5762.015886
TP_1_0		27	1618.535798	92317.964929	5765.002417
TP_1_0		28	1624.339918	91192.798539	5768.090756
TP_1_0		29	1629.909889	90055.598656	5771.279718
TP_1_0		30	1635.199622	88909.793236	5774.568094
TP_1_0		31	1640.167976	87758.286629	5777.954647
TP_1_0		32	1644.778825	86602.989598	5781.438122
TP_1_0		33	1649.000952	85445.270514	5785.017239
TP_1_0		34	1652.807625	84286.033421	5788.690698
TP_1_0		35	1656.175829	83125.428995	5792.457181
TP_1_0		36	1659.085628	81963.100945	5796.315343
TP_1_0		37	1661.519653	80798.190406	5800.263822
TP_1_0		38	1663.462454	79629.591806	5804.301226
TP_1_0		39	1664.900075	78456.431943	5808.426137
TP_1_0		40	1665.820013	77278.734024	5812.637111
