1.Parameters:
----------------------------------------------------------------------------
.	md_steps 2000
.	A 5
.	B 5
.	C 5
.	max_step 20
.	max_sub_step 20
.	solid_cutoff 0.750000
.	liquid_cutoff 0.200000
.	Mode
.done

2.build mode...
----------------------------------------------------------------------------
.	Relaxing...
.	Recheck the solid temperature: 
.		3500.00 solid
.		4000.00 liquid

.	Recheck the liquid Temperature 
.		 4500.00 liquid
.		 4000.00 liquid
.		 3500.00 solid
3. Melting Temperature Search Start.
----------------------------------------------------------------------------
.	heating up start. MD Steps:5000 From:3500.00K to 4000.00K

TP_0_0		steps:	temperature:	pressure:	volume:
TP_1_0		0	3500.000000	529934.849176	9221.385142
TP_1_0		1	3535.520097	528404.530560	9221.524897
TP_1_0		2	3651.132207	522216.233573	9221.943371
TP_1_0		3	3830.663903	512129.725007	9222.637353
TP_1_0		4	4051.339002	499236.286799	9223.601604
TP_1_0		5	4288.989597	484740.092194	9224.829433
TP_1_0		6	4522.376379	469770.508644	9226.313322
TP_1_0		7	4735.385053	455256.702330	9228.045518
TP_1_0		8	4917.358513	441879.954934	9230.018520
TP_1_0		9	5062.726737	430061.097246	9232.225428
TP_1_0		10	5170.634453	419975.482331	9234.660166
TP_1_0		11	5244.374833	411581.462403	9237.317569
TP_1_0		12	5290.191657	404681.155441	9240.193359
TP_1_0		13	5315.424825	399003.818715	9243.284035
TP_1_0		14	5326.643181	394286.292935	9246.586730
TP_1_0		15	5328.695535	390321.094221	9250.099064
TP_1_0		16	5324.899950	386961.959776	9253.819034
TP_1_0		17	5317.551612	384114.202117	9257.744932
TP_1_0		18	5308.044121	381719.002280	9261.875288
TP_1_0		19	5296.907358	379742.654078	9266.208838
TP_1_0		20	5284.204394	378153.266032	9270.744500
TP_1_0		21	5269.990712	376899.950266	9275.481350
TP_1_0		22	5254.441178	375909.270318	9280.418594
TP_1_0		23	5237.826111	375081.587147	9285.555522
TP_1_0		24	5220.644328	374302.670748	9290.891449
TP_1_0		25	5203.736494	373451.371606	9296.425647
