1.Parameters:
----------------------------------------------------------------------------
.	md_steps 2000
.	A 5
.	B 5
.	C 5
.	max_step 20
.	max_sub_step 20
.	solid_cutoff 0.750000
.	liquid_cutoff 0.200000
.	Mode
.	build defect 1 0 1
.	size	0.500000	0.500000	0.500000	0.000000	0.000000	0.000000
.	pos	0.500000	0.500000	0.500000	0.000000	0.000000	0.000000
.	rot	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
.done

2.build mode...
----------------------------------------------------------------------------
.	Relaxing...
.	Recheck the solid temperature: 
.		3500.00 solid
.		4000.00 liquid

.	Recheck the liquid Temperature 
.		 4500.00 liquid
.		 4000.00 liquid
.		 3500.00 solid
3. Melting Temperature Search Start.
----------------------------------------------------------------------------
.	heating up start. MD Steps:5000 From:3500.00K to 4000.00K

TP_0_0		steps:	temperature:	pressure:	volume:
TP_1_0		0	3500.000000	439559.077197	9221.385142
TP_1_0		1	3568.458930	435773.041126	9221.518520
TP_1_0		2	3728.724349	427776.635077	9221.916373
TP_1_0		3	3953.974406	416593.661972	9222.573896
TP_1_0		4	4214.350352	403441.387438	9223.484376
TP_1_0		5	4483.407994	389490.004090	9224.639928
TP_1_0		6	4740.738460	375727.877624	9226.032200
TP_1_0		7	4971.983727	362916.699916	9227.652966
TP_1_0		8	5167.761933	351602.711281	9229.494587
TP_1_0		9	5322.456698	342140.995714	9231.550338
TP_1_0		10	5433.356355	334721.050266	9233.814619
TP_1_0		11	5500.339166	329381.162552	9236.283073
TP_1_0		12	5526.060996	326006.414934	9238.952604
TP_1_0		13	5516.317522	324328.428081	9241.821308
TP_1_0		14	5480.006883	323950.788575	9244.888307
TP_1_0		15	5428.135517	324392.829539	9248.153511
TP_1_0		16	5371.760670	325169.197040	9251.617318
TP_1_0		17	5319.571280	325872.596887	9255.280319
TP_1_0		18	5276.403300	326222.958662	9259.143042
TP_1_0		19	5243.609873	326065.117614	9263.205784
TP_1_0		20	5220.893716	325321.853544	9267.468502
TP_1_0		21	5208.055632	323950.548397	9271.930767
TP_1_0		22	5205.204590	321932.180126	9276.591731
TP_1_0		23	5211.493166	319302.728075	9281.450106
TP_1_0		24	5224.165807	316159.665529	9286.504184
TP_1_0		25	5239.368232	312643.977684	9291.751890
TP_1_0		26	5253.845720	308878.629026	9297.190859
TP_1_0		27	5265.721820	304949.760539	9302.818513
TP_1_0		28	5274.025917	300909.621982	9308.632103
TP_1_0		29	5277.928346	296802.986434	9314.628740
TP_1_0		30	5276.471686	292679.724914	9320.805418
TP_1_0		31	5268.906851	288592.926522	9327.159038
TP_1_0		32	5255.231268	284578.480311	9333.686441
TP_1_0		33	5236.317972	280654.737373	9340.384424
TP_1_0		34	5213.378492	276829.120751	9347.249747
TP_1_0		35	5187.261686	273117.380262	9354.279141
TP_1_0		36	5158.295272	269546.585566	9361.469307
TP_1_0		37	5126.606959	266143.455631	9368.816937
TP_1_0		38	5092.308486	262923.384280	9376.318726
TP_1_0		39	5055.540592	259886.193384	9383.971380
TP_1_0		40	5016.911971	257006.397624	9391.771616
TP_1_0		41	4978.107070	254223.761996	9399.716143
TP_1_0		42	4941.733374	251454.586961	9407.801627
TP_1_0		43	4910.202702	248627.477891	9416.024633
TP_1_0		44	4884.536143	245714.866642	9424.381582
TP_1_0		45	4864.039351	242739.474682	9432.868734
TP_1_0		46	4846.958948	239759.509163	9441.482203
TP_1_0		47	4831.456704	236834.187335	9450.217992
TP_1_0		48	4816.186684	234008.569043	9459.072037
TP_1_0		49	4800.349601	231299.710318	9468.040234
TP_1_0		50	4783.618469	228704.408533	9477.118453
TP_1_0		51	4766.165733	226194.595343	9486.302544
TP_1_0		52	4748.523408	223727.136682	9495.588313
TP_1_0		53	4731.053520	221261.944393	9504.971509
TP_1_0		54	4713.392169	218774.678346	9514.447793
