1.Parameters:
----------------------------------------------------------------------------
.	md_steps 2000
.	A 5
.	B 5
.	C 5
.	max_step 20
.	max_sub_step 20
.	solid_cutoff 0.750000
.	liquid_cutoff 0.200000
.	Mode
.done

2.build mode...
----------------------------------------------------------------------------
.	Relaxing...
.	Recheck the solid temperature: 
.		500.00 solid
.		1000.00 solid
.		1500.00 liquid

.	Recheck the liquid Temperature 
.		 1500.00 liquid
.		 1000.00 solid
3. Melting Temperature Search Start.
----------------------------------------------------------------------------
.	heating up start. MD Steps:5000 From:1000.00K to 1500.00K

TP_0_0		steps:	temperature:	pressure:	volume:
TP_1_0		0	1000.000000	32251.332437	11199.747506
TP_1_0		1	1001.469052	32232.450001	11199.835267
TP_1_0		2	1003.416563	32195.340332	11200.098453
TP_1_0		3	1005.808032	32141.990982	11200.536879
TP_1_0		4	1008.614213	32080.211372	11201.150283
TP_1_0		5	1011.800475	32010.039033	11201.938368
TP_1_0		6	1015.325935	31931.445611	11202.900803
TP_1_0		7	1019.142582	31842.461041	11204.037220
TP_1_0		8	1023.203663	31744.311316	11205.347204
TP_1_0		9	1027.468121	31637.101995	11206.830302
TP_1_0		10	1031.910636	31514.318392	11208.486018
TP_1_0		11	1036.507771	31389.686204	11210.313781
TP_1_0		12	1041.223604	31262.959250	11212.313016
TP_1_0		13	1046.012559	31120.848716	11214.483144
TP_1_0		14	1050.820271	30969.680817	11216.823509
TP_1_0		15	1055.594862	30805.516288	11219.333410
TP_1_0		16	1060.291930	30637.886778	11222.012079
TP_1_0		17	1064.875131	30463.371171	11224.858733
TP_1_0		18	1069.317087	30283.195061	11227.872553
TP_1_0		19	1073.597832	30099.114315	11231.052691
TP_1_0		20	1077.698605	29911.671811	11234.398277
TP_1_0		21	1081.610286	29724.089506	11237.908421
TP_1_0		22	1085.331969	29538.805152	11241.582234
TP_1_0		23	1088.861902	29349.733250	11245.418831
TP_1_0		24	1092.202098	29155.564109	11249.417307
TP_1_0		25	1095.367296	28954.700167	11253.576719
TP_1_0		26	1098.368980	28749.584235	11257.896084
TP_1_0		27	1101.211253	28540.231846	11262.374387
TP_1_0		28	1103.901835	28322.881735	11267.010578
TP_1_0		29	1106.442958	28097.462003	11271.803555
TP_1_0		30	1108.835530	27866.376991	11276.752158
TP_1_0		31	1111.085587	27630.929711	11281.855185
TP_1_0		32	1113.196795	27393.531591	11287.111391
TP_1_0		33	1115.170740	27154.709441	11292.519507
TP_1_0		34	1117.003540	26909.773557	11298.078239
TP_1_0		35	1118.701104	26652.804050	11303.786240
TP_1_0		36	1120.271645	26389.141746	11309.642076
TP_1_0		37	1121.709102	26121.424096	11315.644254
TP_1_0		38	1123.003434	25847.699822	11321.791237
TP_1_0		39	1124.144663	25573.534176	11328.081431
TP_1_0		40	1125.115505	25295.538826	11334.513212
TP_1_0		41	1125.894368	25019.773675	11341.084911
TP_1_0		42	1126.468418	24742.860289	11347.794843
TP_1_0		43	1126.827555	24463.876397	11354.641286
TP_1_0		44	1126.965524	24181.062002	11361.622481
TP_1_0		45	1126.873809	23900.117955	11368.736613
TP_1_0		46	1126.539400	23621.818575	11375.981847
TP_1_0		47	1125.954863	23342.950964	11383.356331
TP_1_0		48	1125.119733	23056.028569	11390.858177
TP_1_0		49	1124.029185	22769.972999	11398.485415
TP_1_0		50	1122.679456	22486.442336	11406.236048
TP_1_0		51	1121.076623	22203.944068	11414.108055
TP_1_0		52	1119.227009	21922.539551	11422.099387
TP_1_0		53	1117.119981	21639.454176	11430.207963
TP_1_0		54	1114.736882	21362.714544	11438.431655
TP_1_0		55	1112.069715	21093.939242	11446.768334
TP_1_0		56	1109.114777	20832.335524	11455.215880
TP_1_0		57	1105.871006	20576.737537	11463.772174
TP_1_0		58	1102.337469	20322.557163	11472.435093
TP_1_0		59	1098.510411	20065.730938	11481.202486
TP_1_0		60	1094.388550	19808.753511	11490.072146
TP_1_0		61	1089.973764	19547.917827	11499.041830
TP_1_0		62	1085.275259	19287.266089	11508.109233
TP_1_0		63	1080.315031	19025.209313	11517.272014
TP_1_0		64	1075.125538	18756.957170	11526.527787
TP_1_0		65	1069.742966	18483.033518	11535.874091
TP_1_0		66	1064.210680	18202.486594	11545.308397
TP_1_0		67	1058.576260	17920.917874	11554.828104
TP_1_0		68	1052.884253	17639.096066	11564.430564
TP_1_0		69	1047.182344	17357.753640	11574.113098
TP_1_0		70	1041.516851	17071.848358	11583.872994
TP_1_0		71	1035.933444	16785.737402	11593.707478
