1.Parameters:
----------------------------------------------------------------------------
.	md_steps 2000
.	A 5
.	B 5
.	C 5
.	max_step 20
.	max_sub_step 20
.	solid_cutoff 0.750000
.	liquid_cutoff 0.200000
.	Mode
.	build defect 1 0 1
.	size	0.500000	0.500000	0.500000	0.000000	0.000000	0.000000
.	pos	0.500000	0.500000	0.500000	0.000000	0.000000	0.000000
.	rot	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
.done

2.build mode...
----------------------------------------------------------------------------
.	Relaxing...
.	Recheck the solid temperature: 
.		500.00 solid
.		1000.00 solid
.		1500.00 liquid

.	Recheck the liquid Temperature 
.		 1500.00 liquid
.		 1000.00 solid
3. Melting Temperature Search Start.
----------------------------------------------------------------------------
.	heating up start. MD Steps:5000 From:1000.00K to 1500.00K

TP_0_0		steps:	temperature:	pressure:	volume:
TP_1_0		0	1000.000000	26845.969086	11199.747506
TP_1_0		1	1004.938483	26821.128574	11199.831263
TP_1_0		2	1010.497475	26773.282486	11200.082386
TP_1_0		3	1016.603463	26707.017818	11200.500590
TP_1_0		4	1023.192663	26626.757431	11201.085490
TP_1_0		5	1030.207806	26524.405608	11201.836621
TP_1_0		6	1037.580944	26410.423924	11202.753390
TP_1_0		7	1045.231148	26283.540433	11203.835140
TP_1_0		8	1053.072018	26142.010116	11205.081145
TP_1_0		9	1061.012892	25986.338207	11206.490594
TP_1_0		10	1068.972437	25826.138885	11208.062596
TP_1_0		11	1076.882035	25660.907608	11209.796238
TP_1_0		12	1084.673577	25487.130793	11211.690585
TP_1_0		13	1092.279816	25306.889971	11213.744651
TP_1_0		14	1099.636601	25120.795958	11215.957419
TP_1_0		15	1106.676684	24925.267431	11218.327837
TP_1_0		16	1113.331267	24721.318002	11220.854799
TP_1_0		17	1119.545004	24515.409474	11223.537148
TP_1_0		18	1125.276139	24307.556619	11226.373721
TP_1_0		19	1130.477216	24088.184046	11229.363339
TP_1_0		20	1135.103292	23867.965554	11232.504755
TP_1_0		21	1139.125568	23647.753363	11235.796715
TP_1_0		22	1142.523714	23429.989202	11239.237965
TP_1_0		23	1145.284379	23216.037853	11242.827263
TP_1_0		24	1147.398700	23006.580568	11246.563389
TP_1_0		25	1148.863338	22803.240642	11250.445148
TP_1_0		26	1149.681345	22606.553495	11254.471377
TP_1_0		27	1149.862758	22415.544355	11258.640954
TP_1_0		28	1149.425979	22226.864831	11262.952781
TP_1_0		29	1148.391625	22044.467801	11267.405773
TP_1_0		30	1146.776027	21863.681554	11271.998875
TP_1_0		31	1144.595255	21685.679295	11276.731032
TP_1_0		32	1141.880358	21508.286511	11281.601200
TP_1_0		33	1138.674430	21330.579280	11286.608328
TP_1_0		34	1135.016630	21157.208400	11291.751351
TP_1_0		35	1130.948142	20982.815504	11297.029221
TP_1_0		36	1126.515004	20806.870076	11302.440871
TP_1_0		37	1121.757459	20629.506387	11307.985208
TP_1_0		38	1116.711836	20452.282541	11313.661119
TP_1_0		39	1111.415863	20274.180498	11319.467475
TP_1_0		40	1105.906568	20094.043551	11325.403124
TP_1_0		41	1100.220363	19910.871407	11331.466887
TP_1_0		42	1094.397270	19720.663405	11337.657545
TP_1_0		43	1088.478377	19524.720947	11343.973818
TP_1_0		44	1082.500169	19324.908536	11350.414367
TP_1_0		45	1076.496872	19120.164204	11356.977809
TP_1_0		46	1070.498540	18910.082734	11363.662710
TP_1_0		47	1064.530926	18694.830556	11370.467576
TP_1_0		48	1058.620554	18476.279257	11377.390860
TP_1_0		49	1052.797837	18252.002191	11384.430969
TP_1_0		50	1047.095297	18022.227504	11391.586249
TP_1_0		51	1041.544395	17788.693739	11398.854987
TP_1_0		52	1036.189864	17544.853384	11406.235418
TP_1_0		53	1031.087138	17288.888111	11413.725685
TP_1_0		54	1026.277963	17025.694618	11421.323828
TP_1_0		55	1021.793447	16755.085517	11429.027809
TP_1_0		56	1017.664944	16477.613400	11436.835519
TP_1_0		57	1013.926084	16192.124255	11444.744772
TP_1_0		58	1010.609767	15892.404840	11452.753304
TP_1_0		59	1007.741559	15581.878105	11460.858729
TP_1_0		60	1005.341047	15260.510644	11469.058563
TP_1_0		61	1003.419835	14931.798750	11477.350218
TP_1_0		62	1001.978759	14598.119029	11485.731035
TP_1_0		63	1001.011204	14259.989384	11494.198288
TP_1_0		64	1000.509786	13912.520435	11502.749197
TP_1_0		65	1000.457335	13556.116983	11511.380890
TP_1_0		66	1000.819475	13190.482454	11520.090409
TP_1_0		67	1001.555618	12820.214866	11528.874707
TP_1_0		68	1002.620099	12445.476442	11537.730681
TP_1_0		69	1003.964769	12071.503815	11546.655169
TP_1_0		70	1005.543234	11699.083580	11555.644991
TP_1_0		71	1007.303775	11325.884066	11564.696951
TP_1_0		72	1009.190139	10953.750434	11573.807825
TP_1_0		73	1011.146452	10584.178015	11582.974373
TP_1_0		74	1013.116714	10216.474377	11592.193350
TP_1_0		75	1015.043672	9849.539173	11601.461503
TP_1_0		76	1016.871839	9485.864490	11610.775565
TP_1_0		77	1018.549441	9126.675638	11620.132274
TP_1_0		78	1020.027335	8774.264360	11629.528380
TP_1_0		79	1021.260075	8429.542713	11638.960663
TP_1_0		80	1022.207207	8092.664914	11648.425942
TP_1_0		81	1022.833928	7762.862654	11657.921077
TP_1_0		82	1023.108805	7433.337633	11667.442963
TP_1_0		83	1023.008031	7109.008638	11676.988488
TP_1_0		84	1022.515163	6792.993617	11686.554570
TP_1_0		85	1021.615433	6483.885621	11696.138173
TP_1_0		86	1020.299063	6182.904384	11705.736306
TP_1_0		87	1018.557472	5886.080873	11715.346028
TP_1_0		88	1016.384868	5595.684056	11724.964425
TP_1_0		89	1013.785659	5315.109078	11734.588627
TP_1_0		90	1010.767324	5040.055806	11744.215831
TP_1_0		91	1007.339257	4773.156043	11753.843277
TP_1_0		92	1003.520425	4517.343127	11763.468261
TP_1_0		93	999.338155	4272.069921	11773.088163
TP_1_0		94	994.826356	4035.518933	11782.700441
TP_1_0		95	990.024558	3808.165798	11792.302623
TP_1_0		96	984.977814	3587.784564	11801.892306
TP_1_0		97	979.729563	3376.682900	11811.467149
TP_1_0		98	974.316684	3168.825442	11821.024884
TP_1_0		99	968.768122	2964.591640	11830.563280
TP_1_0		100	963.118648	2768.211911	11840.080144
TP_1_0		101	957.415444	2578.446747	11849.573352
TP_1_0		102	951.707536	2394.385581	11859.040842
TP_1_0		103	946.045189	2215.266633	11868.480608
TP_1_0		104	940.478840	2040.152413	11877.890696
TP_1_0		105	935.058308	1868.181471	11887.269199
TP_1_0		106	929.832489	1698.636481	11896.614248
TP_1_0		107	924.849088	1531.025874	11905.924014
TP_1_0		108	920.154229	1364.906359	11915.196701
TP_1_0		109	915.792248	1199.037122	11924.430542
TP_1_0		110	911.804643	1032.428695	11933.623798
TP_1_0		111	908.227025	866.254719	11942.774741
TP_1_0		112	905.086255	698.030884	11951.881675
TP_1_0		113	902.393384	521.077217	11960.942909
TP_1_0		114	900.153844	342.433234	11969.956713
TP_1_0		115	898.377274	161.421738	11978.921373
TP_1_0		116	897.070907	-24.599144	11987.835179
TP_1_0		117	896.238684	-215.517126	11996.696415
TP_1_0		118	895.877827	-409.845738	12005.503352
TP_1_0		119	895.979343	-607.642875	12014.254264
TP_1_0		120	896.529121	-809.045691	12022.947428
TP_1_0		121	897.507792	-1014.143256	12031.581121
TP_1_0		122	898.890880	-1222.887507	12040.153621
TP_1_0		123	900.648314	-1435.667037	12048.663208
TP_1_0		124	902.735759	-1657.706371	12057.108161
TP_1_0		125	905.100482	-1885.982701	12065.486719
TP_1_0		126	907.692371	-2119.560892	12073.797106
TP_1_0		127	910.461379	-2356.107074	12082.037536
TP_1_0		128	913.358777	-2596.809184	12090.206232
TP_1_0		129	916.333807	-2838.742063	12098.301414
TP_1_0		130	919.333724	-3080.328172	12106.321324
TP_1_0		131	922.306532	-3320.661448	12114.264235
TP_1_0		132	925.202213	-3558.685664	12122.128459
TP_1_0		133	927.973472	-3793.379279	12129.912355
TP_1_0		134	930.576988	-4023.956911	12137.614333
TP_1_0		135	932.974507	-4249.932136	12145.232864
TP_1_0		136	935.133119	-4471.046646	12152.766480
TP_1_0		137	937.025440	-4687.025171	12160.213777
TP_1_0		138	938.629824	-4897.408393	12167.573417
TP_1_0		139	939.930353	-5101.644659	12174.844129
TP_1_0		140	940.916575	-5299.208991	12182.024715
TP_1_0		141	941.582665	-5490.145255	12189.114050
TP_1_0		142	941.925379	-5675.874345	12196.111084
TP_1_0		143	941.943955	-5853.933086	12203.014832
TP_1_0		144	941.642110	-6022.506410	12209.824386
TP_1_0		145	941.029795	-6187.106600	12216.538933
TP_1_0		146	940.118712	-6342.769095	12223.157711
TP_1_0		147	938.921724	-6487.304213	12229.680047
TP_1_0		148	937.455743	-6620.325095	12236.105369
TP_1_0		149	935.740135	-6741.770795	12242.433210
TP_1_0		150	933.797154	-6853.873266	12248.663207
TP_1_0		151	931.650165	-6955.989279	12254.795086
TP_1_0		152	929.322997	-7049.162188	12260.828660
TP_1_0		153	926.840795	-7134.261701	12266.763826
TP_1_0		154	924.228505	-7210.243211	12272.600553
TP_1_0		155	921.511446	-7277.472417	12278.338894
TP_1_0		156	918.716641	-7336.367519	12283.978977
TP_1_0		157	915.872994	-7387.392153	12289.521003
TP_1_0		158	913.011414	-7430.642574	12294.965242
TP_1_0		159	910.164385	-7466.289326	12300.312032
TP_1_0		160	907.364861	-7494.885594	12305.561773
TP_1_0		161	904.644731	-7517.816546	12310.714927
TP_1_0		162	902.033165	-7535.869848	12315.772005
TP_1_0		163	899.555443	-7549.006793	12320.733555
TP_1_0		164	897.231544	-7560.083437	12325.600172
TP_1_0		165	895.076830	-7568.190484	12330.372465
TP_1_0		166	893.104215	-7573.488858	12335.051070
TP_1_0		167	891.322375	-7579.056309	12339.636645
TP_1_0		168	889.736231	-7585.472095	12344.129848
TP_1_0		169	888.349540	-7592.172111	12348.531330
TP_1_0		170	887.162378	-7601.677884	12352.841743
TP_1_0		171	886.169759	-7614.366111	12357.061713
TP_1_0		172	885.366479	-7627.994527	12361.191844
TP_1_0		173	884.748117	-7642.319777	12365.232732
TP_1_0		174	884.308420	-7656.993257	12369.184966
TP_1_0		175	884.038887	-7671.814279	12373.049130
TP_1_0		176	883.930050	-7688.026977	12376.825805
TP_1_0		177	883.971972	-7706.458276	12380.515560
TP_1_0		178	884.151802	-7726.532810	12384.118944
TP_1_0		179	884.451475	-7747.201914	12387.636489
TP_1_0		180	884.848313	-7767.496573	12391.068722
TP_1_0		181	885.318141	-7787.576065	12394.416167
TP_1_0		182	885.837141	-7807.428685	12397.679347
TP_1_0		183	886.382234	-7826.933984	12400.858783
TP_1_0		184	886.931494	-7845.888433	12403.954994
TP_1_0		185	887.464517	-7864.159966	12406.968498
TP_1_0		186	887.962661	-7881.714200	12409.899814
TP_1_0		187	888.409423	-7898.582317	12412.749463
TP_1_0		188	888.790925	-7914.888702	12415.517962
TP_1_0		189	889.099283	-7932.976874	12418.205831
TP_1_0		190	889.333728	-7955.260852	12420.813569
TP_1_0		191	889.492468	-7979.106874	12423.341636
TP_1_0		192	889.571340	-8003.764263	12425.790476
TP_1_0		193	889.568959	-8029.533306	12428.160521
TP_1_0		194	889.483871	-8060.183703	12430.452189
TP_1_0		195	889.316335	-8092.616060	12432.665852
TP_1_0		196	889.073169	-8126.772858	12434.801867
TP_1_0		197	888.765269	-8162.847398	12436.860567
TP_1_0		198	888.404639	-8203.001512	12438.842270
TP_1_0		199	888.003430	-8246.527779	12440.747253
TP_1_0		200	887.577193	-8291.569539	12442.575762
TP_1_0		201	887.144240	-8337.873228	12444.328029
TP_1_0		202	886.723069	-8385.269540	12446.004266
TP_1_0		203	886.331444	-8433.626741	12447.604675
TP_1_0		204	885.984791	-8484.555075	12449.129443
TP_1_0		205	885.696180	-8535.928113	12450.578734
TP_1_0		206	885.477329	-8587.030067	12451.952700
TP_1_0		207	885.337999	-8637.199205	12453.251493
TP_1_0		208	885.285802	-8685.773080	12454.475265
TP_1_0		209	885.325705	-8732.293649	12455.624175
TP_1_0		210	885.459908	-8776.301372	12456.698393
TP_1_0		211	885.688281	-8817.277441	12457.698101
TP_1_0		212	886.005706	-8856.865373	12458.623501
TP_1_0		213	886.400518	-8897.171170	12459.474798
TP_1_0		214	886.862064	-8933.660802	12460.252187
TP_1_0		215	887.383712	-8965.716783	12460.955884
TP_1_0		216	887.968156	-9000.204126	12461.586137
TP_1_0		217	888.618562	-9031.776616	12462.143165
TP_1_0		218	889.330202	-9060.118729	12462.627207
TP_1_0		219	890.098625	-9085.482928	12463.038520
TP_1_0		220	890.920001	-9108.181934	12463.377375
TP_1_0		221	891.791884	-9129.463330	12463.644062
TP_1_0		222	892.717529	-9154.654903	12463.838871
TP_1_0		223	893.696688	-9178.368166	12463.962059
TP_1_0		224	894.721363	-9200.403672	12464.013887
TP_1_0		225	895.782550	-9220.272537	12463.994624
TP_1_0		226	896.870503	-9237.649308	12463.904547
TP_1_0		227	897.974222	-9252.779322	12463.743950
TP_1_0		228	899.082273	-9263.455660	12463.513135
TP_1_0		229	900.183995	-9269.020827	12463.212435
TP_1_0		230	901.269295	-9268.783028	12462.842214
TP_1_0		231	902.329118	-9262.125449	12462.402876
TP_1_0		232	903.355568	-9248.619072	12461.894868
TP_1_0		233	904.342059	-9228.177015	12461.318683
TP_1_0		234	905.284023	-9201.052155	12460.674859
TP_1_0		235	906.179490	-9167.576645	12459.963982
TP_1_0		236	907.028754	-9128.066329	12459.186675
TP_1_0		237	907.833525	-9082.982854	12458.343606
TP_1_0		238	908.596287	-9032.947048	12457.435473
TP_1_0		239	909.319893	-8978.529445	12456.463009
TP_1_0		240	910.007078	-8920.348769	12455.426970
TP_1_0		241	910.660137	-8859.030598	12454.328135
TP_1_0		242	911.280860	-8795.184606	12453.167299
TP_1_0		243	911.870523	-8729.559948	12451.945269
