1.Parameters:
----------------------------------------------------------------------------
.	md_steps 2000
.	A 5
.	B 5
.	C 5
.	max_step 20
.	max_sub_step 20
.	solid_cutoff 0.750000
.	liquid_cutoff 0.200000
.	Mode
.done

2.build mode...
----------------------------------------------------------------------------
.	Relaxing...
.	Recheck the solid temperature: 
.		500.00 solid
.		1000.00 solid
.		1500.00 liquid

.	Recheck the liquid Temperature 
.		 2000.00 liquid
.		 1500.00 liquid
.		 1000.00 solid
3. Melting Temperature Search Start.
----------------------------------------------------------------------------
.	heating up start. MD Steps:5000 From:1000.00K to 1500.00K

TP_0_0		steps:	temperature:	pressure:	volume:
TP_1_0		0	1000.000000	49808.020155	21812.662318
TP_1_0		1	1000.487548	49308.777657	21838.401890
TP_1_0		2	1000.899528	47823.413776	21915.303145
TP_1_0		3	1001.176966	45429.194733	22042.036310
TP_1_0		4	1001.270937	42264.349134	22215.255721
TP_1_0		5	1001.195057	38536.922488	22428.326214
TP_1_0		6	1001.063568	34507.859257	22670.572000
TP_1_0		7	1001.082859	30451.303447	22928.033387
TP_1_0		8	1001.486618	26601.480869	23186.088405
TP_1_0		9	1002.446363	23104.487794	23432.886083
TP_1_0		10	1004.012249	20008.751034	23661.653740
TP_1_0		11	1006.114518	17292.173053	23870.744475
TP_1_0		12	1008.608975	14897.765164	24061.957167
TP_1_0		13	1011.329866	12760.886004	24238.480281
TP_1_0		14	1014.126871	10827.139856	24403.411835
TP_1_0		15	1016.881950	9057.797673	24559.061459
TP_1_0		16	1019.511334	7428.119578	24706.814940
TP_1_0		17	1021.960480	5922.701859	24847.278025
TP_1_0		18	1024.197311	4534.096414	24980.504688
TP_1_0		19	1026.205339	3258.033763	25106.217190
TP_1_0		20	1027.977876	2091.727968	25223.981092
TP_1_0		21	1029.513883	1033.164422	25333.330437
TP_1_0		22	1030.815196	79.870446	25433.849457
TP_1_0		23	1031.884760	-770.381263	25525.218897
TP_1_0		24	1032.725274	-1521.614302	25607.237373
TP_1_0		25	1033.338599	-2177.684445	25679.823275
TP_1_0		26	1033.725783	-2742.349138	25743.006783
TP_1_0		27	1033.887083	-3220.089933	25796.917021
TP_1_0		28	1033.822138	-3615.692462	25841.766753
TP_1_0		29	1033.530201	-3933.511673	25877.837458
TP_1_0		30	1033.010579	-4177.626739	25905.466980
TP_1_0		31	1032.262871	-4352.057431	25925.039857
TP_1_0		32	1031.287070	-4461.374260	25936.979911
TP_1_0		33	1030.083782	-4508.866026	25941.743866
TP_1_0		34	1028.654341	-4498.967597	25939.818170
TP_1_0		35	1027.001051	-4435.635855	25931.714967
TP_1_0		36	1025.127152	-4322.713522	25917.969220
TP_1_0		37	1023.037015	-4164.211713	25899.136029
TP_1_0		38	1020.736440	-3964.468991	25875.787469
TP_1_0		39	1018.232705	-3727.554036	25848.508575
TP_1_0		40	1015.534608	-3457.437152	25817.893233
TP_1_0		41	1012.652574	-3158.754115	25784.539718
TP_1_0		42	1009.598813	-2836.109670	25749.044859
TP_1_0		43	1006.387496	-2494.223540	25711.998015
TP_1_0		44	1003.034871	-2138.099628	25673.974804
TP_1_0		45	999.559222	-1771.613376	25635.530571
TP_1_0		46	995.980668	-1399.716135	25597.195745
TP_1_0		47	992.321381	-1027.155546	25559.470075
TP_1_0		48	988.605448	-658.671542	25522.817764
TP_1_0		49	984.858565	-298.276927	25487.663261
TP_1_0		50	981.107844	50.013179	25454.388710
TP_1_0		51	977.381461	382.373744	25423.331937
TP_1_0		52	973.708223	695.370521	25394.785169
TP_1_0		53	970.117044	986.027633	25368.994621
TP_1_0		54	966.636439	1251.573549	25346.160872
TP_1_0		55	963.294003	1489.550694	25326.439537
TP_1_0		56	960.115862	1698.213665	25309.942221
TP_1_0		57	957.126002	1876.187600	25296.738205
TP_1_0		58	954.345621	2022.789264	25286.856235
TP_1_0		59	951.792578	2137.239406	25280.286812
TP_1_0		60	949.480975	2219.710236	25276.983851
TP_1_0		61	947.420646	2270.668539	25276.867149
TP_1_0		62	945.616878	2290.968776	25279.824760
TP_1_0		63	944.070263	2281.778742	25285.715446
TP_1_0		64	942.776676	2245.072162	25294.371154
TP_1_0		65	941.727388	2182.368132	25305.600256
TP_1_0		66	940.909281	2096.292098	25319.189876
TP_1_0		67	940.305303	1989.101593	25334.909542
TP_1_0		68	939.894914	1863.446947	25352.514155
TP_1_0		69	939.654835	1721.950717	25371.747395
TP_1_0		70	939.559899	1567.696173	25392.345028
TP_1_0		71	939.583596	1403.310229	25414.038797
TP_1_0		72	939.698789	1231.809377	25436.559641
TP_1_0		73	939.878453	1055.679371	25459.641433
TP_1_0		74	940.096517	877.439657	25483.023939
TP_1_0		75	940.328462	700.253705	25506.455801
TP_1_0		76	940.551750	526.170309	25529.698347
TP_1_0		77	940.746371	357.187960	25552.527768
TP_1_0		78	940.895215	194.801308	25574.737156
TP_1_0		79	940.984323	41.169777	25596.137789
TP_1_0		80	941.003202	-102.077898	25616.561271
TP_1_0		81	940.944840	-233.856785	25635.860853
TP_1_0		82	940.805674	-353.499568	25653.911927
TP_1_0		83	940.585547	-460.064105	25670.611907
TP_1_0		84	940.287450	-553.419473	25685.880493
