1.Parameters:
----------------------------------------------------------------------------
.	md_steps 2000
.	A 5
.	B 5
.	C 5
.	max_step 20
.	max_sub_step 20
.	solid_cutoff 0.750000
.	liquid_cutoff 0.200000
.	Mode
.	build defect 1 0 1
.	size	0.500000	0.500000	0.500000	0.000000	0.000000	0.000000
.	pos	0.500000	0.500000	0.500000	0.000000	0.000000	0.000000
.	rot	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
.done

2.build mode...
----------------------------------------------------------------------------
.	Relaxing...
.	Recheck the solid temperature: 
.		500.00 solid
.		1000.00 solid
.		1500.00 liquid

.	Recheck the liquid Temperature 
.		 2000.00 liquid
.		 1500.00 liquid
.		 1000.00 solid
3. Melting Temperature Search Start.
----------------------------------------------------------------------------
.	heating up start. MD Steps:5000 From:1000.00K to 1500.00K

TP_0_0		steps:	temperature:	pressure:	volume:
TP_1_0		0	1000.000000	40550.016842	21812.662318
TP_1_0		1	999.566552	40177.241458	21836.634861
TP_1_0		2	999.087076	39027.847135	21908.292041
TP_1_0		3	998.495080	37156.905468	22026.536728
TP_1_0		4	997.726925	34664.088215	22188.716442
TP_1_0		5	996.763619	31694.979673	22389.671054
TP_1_0		6	995.665849	28434.877072	22621.025961
TP_1_0		7	994.580286	25088.532122	22871.392638
TP_1_0		8	993.704358	21841.566852	23127.901545
TP_1_0		9	993.221952	18830.725554	23378.699197
TP_1_0		10	993.243771	16128.189457	23615.256827
TP_1_0		11	993.782951	13745.862523	23833.359638
TP_1_0		12	994.770716	11654.919204	24032.542581
TP_1_0		13	996.093481	9810.672386	24214.643170
TP_1_0		14	997.628909	8167.002147	24382.341219
TP_1_0		15	999.269296	6685.854608	24538.170994
TP_1_0		16	1000.931222	5338.568523	24684.062152
TP_1_0		17	1002.556151	4106.577275	24821.248981
TP_1_0		18	1004.106685	2977.959427	24950.369269
TP_1_0		19	1005.561121	1944.753317	25071.625408
TP_1_0		20	1006.908290	1001.395427	25184.941612
TP_1_0		21	1008.143853	145.114113	25290.092027
TP_1_0		22	1009.267381	-626.579064	25386.797184
TP_1_0		23	1010.279992	-1316.351628	25474.789394
TP_1_0		24	1011.182910	-1926.746515	25553.853077
TP_1_0		25	1011.976763	-2460.309016	25623.846973
TP_1_0		26	1012.661287	-2919.292355	25684.713606
TP_1_0		27	1013.235124	-3306.542655	25736.480949
TP_1_0		28	1013.695770	-3625.097282	25779.258278
TP_1_0		29	1014.039757	-3877.993685	25813.229388
TP_1_0		30	1014.262887	-4068.093954	25838.645120
TP_1_0		31	1014.360560	-4198.217343	25855.816478
TP_1_0		32	1014.327938	-4271.806381	25865.108598
TP_1_0		33	1014.160102	-4291.525887	25866.934612
TP_1_0		34	1013.852386	-4260.960384	25861.751655
TP_1_0		35	1013.400576	-4182.664071	25850.055950
TP_1_0		36	1012.801080	-4060.212081	25832.379944
TP_1_0		37	1012.051060	-3896.834234	25809.287798
TP_1_0		38	1011.148542	-3695.983009	25781.371280
TP_1_0		39	1010.092807	-3461.370347	25749.244931
TP_1_0		40	1008.884571	-3196.778723	25713.540368
TP_1_0		41	1007.526158	-2905.894568	25674.900015
TP_1_0		42	1006.021844	-2593.068118	25633.970607
TP_1_0		43	1004.378153	-2262.471544	25591.395377
TP_1_0		44	1002.604114	-1918.183276	25547.806518
TP_1_0		45	1000.711449	-1564.856196	25503.817990
TP_1_0		46	998.714884	-1207.194049	25460.017821
TP_1_0		47	996.632219	-849.207191	25416.960993
TP_1_0		48	994.484159	-495.203570	25375.164219
TP_1_0		49	992.294215	-149.576687	25335.101075
TP_1_0		50	990.088419	183.939857	25297.197864
TP_1_0		51	987.894706	501.987805	25261.831332
TP_1_0		52	985.742201	800.837803	25229.327588
TP_1_0		53	983.660472	1077.939810	25199.960930
TP_1_0		54	981.678532	1330.178409	25173.954798
TP_1_0		55	979.823708	1555.676337	25151.481899
TP_1_0		56	978.120465	1752.215182	25132.666172
TP_1_0		57	976.589345	1919.071005	25117.583903
TP_1_0		58	975.246110	2055.368222	25106.266759
TP_1_0		59	974.101077	2160.313703	25098.704012
TP_1_0		60	973.158791	2234.365037	25094.844330
TP_1_0		61	972.418014	2278.027133	25094.598926
TP_1_0		62	971.871918	2292.187888	25097.844171
TP_1_0		63	971.508657	2278.350461	25104.424273
TP_1_0		64	971.312369	2238.137691	25114.154438
TP_1_0		65	971.264200	2173.689021	25126.823811
TP_1_0		66	971.343261	2087.103390	25142.198914
TP_1_0		67	971.527796	1980.639327	25160.026780
TP_1_0		68	971.796215	1856.614538	25180.038198
TP_1_0		69	972.128060	1717.821278	25201.950960
TP_1_0		70	972.504796	1567.007041	25225.473815
TP_1_0		71	972.910264	1406.289542	25250.310330
TP_1_0		72	973.330964	1238.736822	25276.161780
TP_1_0		73	973.756354	1066.948772	25302.731547
TP_1_0		74	974.178787	893.034198	25329.728769
TP_1_0		75	974.593350	719.428551	25356.871206
TP_1_0		76	974.997544	548.272658	25383.888599
TP_1_0		77	975.390787	381.468787	25410.525509
TP_1_0		78	975.774072	220.603311	25436.543708
TP_1_0		79	976.149706	67.145546	25461.724005
TP_1_0		80	976.520733	-77.397575	25485.867799
TP_1_0		81	976.890484	-211.776219	25508.798628
TP_1_0		82	977.262388	-335.128727	25530.363217
TP_1_0		83	977.639417	-446.753460	25550.431847
TP_1_0		84	978.023958	-545.992486	25568.898441
TP_1_0		85	978.417702	-632.493840	25585.680545
TP_1_0		86	978.821350	-705.989470	25600.718836
TP_1_0		87	979.234792	-766.494098	25613.976493
TP_1_0		88	979.656995	-813.743752	25625.438172
TP_1_0		89	980.086040	-848.204189	25635.109470
TP_1_0		90	980.519187	-870.056947	25643.015268
TP_1_0		91	980.952898	-879.321175	25649.198622
TP_1_0		92	981.382910	-876.878646	25653.719975
TP_1_0		93	981.804372	-863.276509	25656.655056
TP_1_0		94	982.211907	-838.927040	25658.093409
TP_1_0		95	982.599658	-804.843475	25658.137225
TP_1_0		96	982.961415	-761.811915	25656.899267
TP_1_0		97	983.290585	-710.628069	25654.501264
TP_1_0		98	983.580277	-652.150895	25651.072349
TP_1_0		99	983.823471	-587.187867	25646.747478
TP_1_0		100	984.013161	-517.022954	25641.665986
TP_1_0		101	984.142537	-442.486759	25635.969456
TP_1_0		102	984.205174	-364.571622	25629.800384
TP_1_0		103	984.195241	-284.018804	25623.300655
TP_1_0		104	984.107686	-202.121718	25616.610472
TP_1_0		105	983.938331	-119.381902	25609.866456
TP_1_0		106	983.684085	-36.959560	25603.201085
TP_1_0		107	983.343120	43.913160	25596.741108
TP_1_0		108	982.914999	122.891159	25590.605906
TP_1_0		109	982.400705	198.325570	25584.907341
TP_1_0		110	981.802526	270.029153	25579.747520
TP_1_0		111	981.124095	337.149870	25575.218987
TP_1_0		112	980.370368	398.828651	25571.403826
TP_1_0		113	979.547373	454.779104	25568.372793
TP_1_0		114	978.661941	503.826196	25566.185365
TP_1_0		115	977.721523	546.055124	25564.888369
TP_1_0		116	976.733966	580.979773	25564.516641
TP_1_0		117	975.707326	608.478878	25565.092729
TP_1_0		118	974.649586	628.268222	25566.627167
TP_1_0		119	973.568337	640.818401	25569.118457
TP_1_0		120	972.470896	645.560098	25572.554222
TP_1_0		121	971.364454	643.008972	25576.910647
TP_1_0		122	970.255843	632.974793	25582.153642
TP_1_0		123	969.151608	616.403901	25588.238825
